CID,CRPName
N00007665,"Abercrombie, Neil"
N00009825,"Acevedo-Vila, Anibal"
N00001143,"Ackerman, Gary"
N00030926,"Adams, Sandy"
N00003028,"Aderholt, Robert B"
N00000812,"Adler, John H"
N00007653,"Akaka, Daniel K"
N00009677,"Akin, Todd"
N00009888,"Alexander, Lamar"
N00025464,"Alexander, Rodney"
N99999926,"Alito, Samuel A"
N00009082,"Allard, Wayne"
N00009957,"Allen, George"
N00000469,"Allen, Tom"
N00027664,"Altmire, Jason"
N00031938,"Amash, Justin"
N00031177,"Amodei, Mark"
N00000826,"Andrews, Robert E"
N00027890,"Arcuri, Michael"
N00005165,"Ashcroft, John"
N00029412,"Austria, Steve C"
N00030980,"Ayotte, Kelly A"
N00007089,"Baca, Joe"
N00027493,"Bachmann, Michele Marie"
N00008091,"Bachus, Spencer"
N00007936,"Baird, Brian"
N00005407,"Baker, Richard"
N00004367,"Baldwin, Tammy"
N00002377,"Ballenger, Cass"
N00033981,"Barber, Ron"
N00025495,"Barletta, Louis J"
N00031233,"Barr, Andy"
N00006236,"Barrasso, John A"
N00013837,"Barrett, Gresham"
N00026080,"Barrow, John"
N99999959,"Bartlett, Daniel"
N00002017,"Bartlett, Roscoe G"
N00005656,"Barton, Joe"
N00000423,"Bass, Charles"
N00031877,"Bass, Karen"
N00004643,"Baucus, Max"
N00003762,"Bayh, Evan"
N00024875,"Bean, Melissa Luburich"
N00033904,"Beatty, Joyce"
N00025443,"Beauprez, Bob"
N00009774,"Becerra, Xavier"
N00029901,"Begich, Mark"
N00024919,"Bell, Chris"
N00031934,"Benishek, Daniel J"
N00030608,"Bennet, Michael F"
N00006347,"Bennett, Robert F"
N00033625,"Bentivolio, Kerry"
N00030717,"Bera, Ami"
N00005331,"Bereuter, Doug"
N00031629,"Berg, Rick"
N00009818,"Berkley, Shelley"
N00008094,"Berman, Howard L"
N99999968,"Bernanke, Ben S"
N00005455,"Berry, Marion"
N00001669,"Biden, Joseph R Jr"
N00004762,"Biggert, Judy"
N00006981,"Bilbray, Brian P"
N00027462,"Bilirakis, Gus"
N00002982,"Bilirakis, Michael"
N00006518,"Bingaman, Jeff"
N00025292,"Bishop, Rob"
N00002674,"Bishop, Sanford D Jr"
N00025413,"Bishop, Timothy H"
N00031539,"Black, Diane Lynn"
N00003105,"Blackburn, Marsha"
N99999901,"Blank, Rebecca"
N00007727,"Blumenauer, Earl"
N00031685,"Blumenthal, Richard"
N00005195,"Blunt, Roy"
N00029161,"Boccieri, John A"
N99999977,"Bodman, Samuel W III"
N00001267,"Boehlert, Sherwood"
N00003675,"Boehner, John"
N99999980,"Bolten, Joshua B"
N00033474,"Bonamici, Suzanne"
N00005178,"Bond, Christopher S 'Kit'"
N00005985,"Bonilla, Henry"
N00025330,"Bonner, Jo"
N00007068,"Bono, Mary"
N00035267,"Booker, Cory"
N00013873,"Boozman, John"
N00024866,"Bordallo, Madeleine Z"
N00026481,"Boren, Dan"
N00004208,"Boswell, Leonard L"
N00002171,"Boucher, Rick"
N00026595,"Boustany, Charles W Jr"
N00006692,"Boxer, Barbara"
N00002743,"Boyd, Allen"
N00026434,"Boyda, Nancy E"
N00025059,"Bradley, Jeb"
N00005883,"Brady, Kevin"
N00001619,"Brady, Robert A"
N00027464,"Braley, Bruce"
N00005385,"Breaux, John"
N99999925,"Breyer, Stephen G"
